Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,713500,,,,713500,,16678231,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,8,Albania,ALB,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,2500,,,,2500,,60844,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,15000,,,,15000,,316791,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,76,Brazil,BRA,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,98000,,,,98000,,2228177,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,100,Bulgaria,BGR,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,10000,,,,10000,,314184,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,251,France,FRA,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,109500,,,,109500,,2398623,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,300,Greece,GRC,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,4000,,,,4000,,112751,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,360,Indonesia,IDN,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,80000,,,,80000,,2005434,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,381,Italy,ITA,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,3000,,,,3000,,73744,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,458,Malaysia,MYS,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,82000,,,,82000,,1720775,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,528,Netherlands,NLD,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,130000,,,,130000,,3094624,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,616,Poland,POL,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,26000,,,,26000,,754799,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,643,Russian Federation,RUS,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,36000,,,,36000,,826649,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,724,Spain,ESP,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,52000,,,,52000,,1143295,,,0
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,792,Turkey,TUR,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,65500,,,,65500,,1627542,,,0
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,3,,,,3,,50,,,0
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,3,,,,3,,50,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,1730,,,,1730,,3201,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,554,New Zealand,NZL,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,1730,,,,1730,,3201,,,0
H2,2002,2002,2002,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,2510,Natural calcium phosphates,8,Weight in kilograms,906100,,,,906100,,72057,,,0
