Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,1189410600,,,,1189410600,,152888252,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,40,Austria,AUT,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,6200000,,,,6200000,,873677,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,37560200,,,,37560200,,4796673,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,76,Brazil,BRA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,109000000,,,,109000000,,13366541,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,191,Croatia,HRV,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,37350000,,,,37350000,,4965790,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,251,France,FRA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,93800000,,,,93800000,,11639785,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,300,Greece,GRC,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,17500000,,,,17500000,,2390751,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,381,Italy,ITA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,68650000,,,,68650000,,8873043,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,528,Netherlands,NLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,92000000,,,,92000000,,11730961,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,579,Norway,NOR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,400,,,,400,,62,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,616,Poland,POL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,402600000,,,,402600000,,53204931,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,620,Portugal,PRT,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,6300000,,,,6300000,,789468,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,699,India,IND,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,86500000,,,,86500000,,10705982,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,705,Slovenia,SVN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,21500000,,,,21500000,,2827251,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,710,South Africa,ZAF,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,10000000,,,,10000000,,1229831,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,724,Spain,ESP,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,52250000,,,,52250000,,6492140,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,804,Ukraine,UKR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,126200000,,,,126200000,,16304736,,,0
H4,2012,2012,2012,4,0,2,Export,12,Algeria,DZA,858,Uruguay,URY,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,22000000,,,,22000000,,2696630,,,0
H4,2012,2012,2012,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,2296,,,,2296,,25012,,,0
H4,2012,2012,2012,4,0,2,Export,36,Australia,AUS,554,New Zealand,NZL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,16,,,,16,,586,,,0
H4,2012,2012,2012,4,0,2,Export,36,Australia,AUS,842,USA,USA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,2280,,,,2280,,24426,,,0
