Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag;
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,1032590916,,,,1032590916,,55134204,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,32,Argentina,ARG,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,10,,,,10,,43,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,36,Australia,AUS,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,31500000,,,,31500000,,1564881,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,35200000,,,,35200000,,1958008,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,76,Brazil,BRA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,99450000,,,,99450000,,5054831,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,100,Bulgaria,BGR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,12400000,,,,12400000,,631779,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,156,China,CHN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,250,,,,250,,231,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,170,Colombia,COL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,1,,,,1,,14,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,191,Croatia,HRV,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,52600000,,,,52600000,,2876226,,,0
