ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Argentina,Mean nominal hourly labour cost per employee by economic activity (local currency),ARG - ADM - Sistema Integrado Previsional Argentino,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2011,258,,,Currency: ARG - Argentine peso (ARS) | Time unit: Per week | Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding some areas | Reference group coverage: Insured persons | System of national accounts: 1993 SNA"
Argentina,Mean nominal hourly labour cost per employee by economic activity (local currency),ARG - ADM - Sistema Integrado Previsional Argentino,Economic activity (ISIC-Rev.4): C. Manufacturing,2011,136,,,Currency: ARG - Argentine peso (ARS) | Time unit: Per week | Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding some areas | Reference group coverage: Insured persons | System of national accounts: 1993 SNA"
Argentina,Mean nominal hourly labour cost per employee by economic activity (local currency),ARG - ADM - Sistema Integrado Previsional Argentino,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2012,310,,,Currency: ARG - Argentine peso (ARS) | Time unit: Per week | Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding some areas | Reference group coverage: Insured persons | System of national accounts: 1993 SNA"
Argentina,Mean nominal hourly labour cost per employee by economic activity (local currency),ARG - ADM - Sistema Integrado Previsional Argentino,Economic activity (ISIC-Rev.4): C. Manufacturing,2012,175,,,Currency: ARG - Argentine peso (ARS) | Time unit: Per week | Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding some areas | Reference group coverage: Insured persons | System of national accounts: 1993 SNA"
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2011,297998,,,Currency: ARM - Dram (AMD) | Time unit: Per month | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | System of national accounts: 1993 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2011,134615,,,Currency: ARM - Dram (AMD) | Time unit: Per month | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | System of national accounts: 1993 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2012,323154,,,Currency: ARM - Dram (AMD) | Time unit: Per month | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | System of national accounts: 1993 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2012,142297,,,Currency: ARM - Dram (AMD) | Time unit: Per month | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | System of national accounts: 1993 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,2013,2449.2,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers | Break in series: Other or unspecified type of break,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity (local currency),ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,2013,1049.6,,,Currency: ARM - Dram (AMD) | Working time arrangement coverage: Full-time and part time workers | Break in series: Other or unspecified type of break,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
