ref_area.label,indicator.label,source.label,classif1.label,classif2.label,time,obs_value,note_classif.label,note_indicator.label,note_source.label
Argentina,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARG - ADM - Sistema Integrado Previsional Argentino,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2011,1.24,,Currency: ARG - Argentine peso (ARS) | Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding some areas | Reference group coverage: Insured persons | System of national accounts: 1993 SNA"
Argentina,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARG - ADM - Sistema Integrado Previsional Argentino,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2011,0.77,,Currency: ARG - Argentine peso (ARS) | Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding some areas | Reference group coverage: Insured persons | System of national accounts: 1993 SNA"
Argentina,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARG - ADM - Sistema Integrado Previsional Argentino,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2012,1.3,,Currency: ARG - Argentine peso (ARS) | Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding some areas | Reference group coverage: Insured persons | System of national accounts: 1993 SNA"
Argentina,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARG - ADM - Sistema Integrado Previsional Argentino,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2012,0.91,,Currency: ARG - Argentine peso (ARS) | Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding some areas | Reference group coverage: Insured persons | System of national accounts: 1993 SNA"
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2011,4.32,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | System of national accounts: 1993 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2011,1.77,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | System of national accounts: 1993 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2012,4.23,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | System of national accounts: 1993 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2012,1.78,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | System of national accounts: 1993 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2013,5.98,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Break in series: Other or unspecified type of break,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2013,2.56,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Break in series: Other or unspecified type of break,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2014,5.92,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2014,2.55,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2015,5.66,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2015,2.41,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2016,5.43,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2016,2.46,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2017,6.4,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2017,2.49,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2018,7.48,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Armenia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,ARM - ES - Labour-related establishment survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2018,2.55,,Currency: ARM - Dram (AMD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding institutional population | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA
Australia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUS - ES - Major Labour Costs Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2011,60.18,Nonstandard economic activity: Excluding quarrying,Currency: AUS - Australian dollar (AUD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time equivalents,Data reference period: Noncalendar year
Australia,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUS - ES - Major Labour Costs Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2011,30.86,,Currency: AUS - Australian dollar (AUD) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time equivalents,Data reference period: Noncalendar year
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2009,45.92,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2009,42.99,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2010,44.89,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2010,40.28,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2011,50.1,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2011,43.44,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,"Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | System of national accounts: 2008 SNA"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2012,48.44,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2012,41.63,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2016,43.5,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): C. Manufacturing,Currency: U.S. dollars,2016,39.41,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Mean nominal hourly labour cost per employee by economic activity -- Harmonized series,AUT - ES - Labour Cost Survey,Economic activity (ISIC-Rev.4): B. Mining and quarrying,Currency: U.S. dollars,2017,43.83,,Currency: AUT - Euro (EUR),"Repository: Eurostat | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
